contract_address,name,symbol,decimals
abrahamlincoln.tkn.near,Folks are usually about as happy as they make their minds up to be.,ABRAHAMLINCOLN,0
absxv.gra-fun.near,Crypto Aegend,absxv,24
31761a152f1e96f966c041291644129144233b0b.factory.bridge.near,aBTC,aBTC,18
acat.tfactory.near,Attacking Cat,ACAT,18
ace.tkn.near,Ace Club,ACE,18
adam.tkn.near,Adamantium,ADAM,18
adammihelich.tkn.near,Adam Mihelich,ADAMMIHELICH,15
adg.tkn.near,AiDragon,ADG,18
adhd-1076.meme-cooking.near,Can't stop moving during live sessions,ADHD,18
adv.tkn.near,ADV ,ADV,18
aesco-1180.meme-cooking.near,AESCOBAR,AESCO,18
aet.tkn.near,Amorous Existence ,AET,12
aextoken.near,AEX TOKEN,AEX,24
afrog.tfactory.near,Angry Frog,AFROG,18
ag01.mtmx.near,Ankara Gölbaşı Kızılcaşar 228/10 NFT Payları,AG01,24
agah.tkn.near,Agah,agah,18
age.token0.near,NEARanderthal,AGE,18
agency.tkn.near,Agency,AGENCY,18
aguacate.dagro.near,aguacate,AGUACATE,6
ai.token0.near,NEAR_AI,AI,18
aiaiser.gra-fun.near,CALM,aiaiser,24
aibb.aidols.near,AI Bid Bro,AIBB,24
aibst.aidols.near,AIBoost,AIBst,24
aicat.gra-fun.near,Intelligent Cat,AIcat,24
aicra.aidols.near,Creative AI,AICRA,24
token-aid.near,AID Token,AID,9
aidl.aidols.near,AIDO-Luxe,AIDL,24
aido-12.aidols.near,NEARgician,AIDO,24
aido-11.aidols.near,AIDOO,AIDO,24
aido.aidols.near,AIDOCTOR,AIDO,24
aidog.aidols.near,AI Dog,AiDog,24
aidoge.aidols.near,AiDOGE,AiDoge,24
aidol.aidols.near,Aidolla,AIDOL,24
aidol100.aidols.near,AIDOLStar,AIDOL100,24
aidor.aidols.near,AIDorable,AIDor,24
aidragon.tkn.near,AIDragon,AIDragon,18
aids.token0.near,Aids,AIDS,18
aiex.aidols.near,AISage,AIEX,24
aieyes.aidols.near,AIDOL Eyes,AIEYES,24
aiko-1317.meme-cooking.near,AIKO,AIKO,18
ailex-1155.meme-cooking.near,AILEXAURORADEV,AILEX,18
aima.aidols.near,AIDOLS Matchmaker,AIMA,24
ai.aipunks.near,AI Punks,aipunks,0
aipunks.nrc-20.near,AIPUNKS,AIPUNKS,0
aisml.aidols.near,AISMILE,AISML,24
aitime.gra-fun.near,Einsteinium,aitime,24
ai-wanted-1617.meme-cooking.near,ALEX AND ILLIA WANTED,AI-WANTED,18
aji_dulce.dagro.near,Aji Dulce,AJI_DULCE,6
akaia.tkn.near,Akaia,AKAIA,24
aladdin.thundertkn.near,Aladdin,ALADDIN,18
alberteinstein.tkn.near,"Try not to become a person of success, but rather try to become a person of value.",ALBERTEINSTEIN,0
alburger.gra-fun.near,Funny Aliens Burger ,Alburger,24
9.contract.portalbridge.near,ALGO,ALGO,6
alkocoin.token0.near,ALK,ALKOCOIN,18
cryptoalma.near,Crypto Alma,ALMA,18
almostboobs.token0.near,ALMOSTBOOBS,ALMOSTBOOBS,18
alninvdr.gra-fun.near,Extraterrestrial Attack,alninvdr,24
altan-1071.meme-cooking.near,BALDTAN,ALTAN,18
alts.tkn.near,Altstroluminati,ALTS,18
amc.tkn.near,Adam Mihelich Coins,AMC,18
bestial.near,AMD RADEON,AMD,8
amzn.tkn.near,#Adam_Mihelich_Zany_Note,AMZN,18
android.token0.near,Android,ANDROID,18
angl.tkn.near,Angel's Luck,ANGL,18
angry.tfactory.near,Angry Frog,ANGRY,18
animeelon.aidols.near,AnimeElon: The Digital Visionary,AnimeElon,24
44ee4ae1e0c2e6160715f24c02fd8df72afe31f2.factory.bridge.near,ANS.BEST - knowledgeFi,ANS,18
ansc.gra-fun.near,ANTISCORE,ANSC,24
bayonne.near,Answers 🐱‍🏍 ,ANSW,0
anton.tkn.near,Anton Social Token,ANTON,18
ants.tkn.near,Ants,ANTS,18
13.contract.portalbridge.near,Aptos Coin,APT,8
apys.token.a11bd.near,APYSwap,APYS,24
aqa1_demo.331a4daac1s.near,VEAX Trash Token (no value). Custom name.,AQA1,24
aqa2_demo.331a4daac1s.near,VEAX Trash Token (no value). Custom name.,AQA2,24
aqa3_demo.331a4daac1s.near,VEAX Trash Token (no value). Custom name.,AQA3,24
aqa4_demo.331a4daac1s.near,VEAX Trash Token (no value). Custom name.,AQA4,24
arb-0x912ce59144191c1204e64559fe8253a0e49e6548.omft.near,Arbitrum,ARB,18
argh.token0.near,GOOD,ARGH,18
incrediblehulk.near,hulk token,ARGH,0
arizcredits.near,Ariz credits,ARIZ,6
token.arkana.near,ARKANA,ARKANA,18
aroon-918.meme-cooking.near,Aroon AI,AROON,4
arepita.near,Arepita,ARP,6
arroz.dagro.near,Arroz,ARROZ,6
art.tkn.near,Art Coin,ART,18
artport.gra-fun.near,Solaris Artistry,artport,24
asa-19.aidols.near,Asa,ASA,24
asa.aidols.near,Asa,ASA,24
asc.tkn.near,Art Stars Club,ASC,10
ascii.tkn.near,ASCII,ASCII,18
asign.gra-fun.near,"God, give me a sign",ASIGN,24
aspin-224.meme-cooking.near,Asong Pinoy,ASPIN,18
assist.aidols.near,AssistAI,ASSIST,24
asset.usdf.burntest.near,Asset,ASST,18
ato.tkn.near,Atocha Coin,ATO,18
