"DATE","BALANCE"
"2022-05-18",479384763.956274
"2022-05-17",479826877.391072
"2022-05-16",479527455.657731
"2022-05-15",478749714.653668
"2022-05-14",477243944.299375
"2022-05-13",477539168.601623
"2022-05-12",467595704.178573
"2022-05-11",456016299.577209
"2022-05-10",455887256.633017
"2022-05-09",458597485.26199
"2022-05-08",460261821.508441
"2022-05-07",460494786.141198
"2022-05-06",460164946.364199
"2022-05-05",459529975.035612
"2022-05-04",457854383.102212
"2022-05-03",457809333.838859
"2022-05-02",458669468.237578
"2022-05-01",451110537.091278
"2022-04-30",451203792.884765
"2022-04-29",452213987.770079
"2022-04-28",452181536.628077
"2022-04-27",452966450.170771
"2022-04-26",453024613.201701
"2022-04-25",451733554.023356
"2022-04-24",450370695.398634
"2022-04-23",449284205.427132
"2022-04-22",451219535.696657
"2022-04-21",451108662.743588
"2022-04-20",451436985.469095
"2022-04-19",451925599.930001
"2022-04-18",452705827.9983
"2022-04-17",451297736.748524
"2022-04-16",451914203.460391
"2022-04-15",451233636.20693
"2022-04-14",452031287.969675
"2022-04-13",452092830.424936
"2022-04-12",451745797.820592
"2022-04-11",453268494.648362
"2022-04-10",452972693.998542
"2022-04-09",453017300.319417
"2022-04-08",440912084.472605
"2022-04-07",440105671.620866
"2022-04-06",440510235.809089
"2022-04-05",435768352.831757
"2022-04-04",435335663.990656
"2022-04-03",431830195.239421
"2022-04-02",432786887.574065
"2022-04-01",433350145.749887
"2022-03-31",427017671.697942
"2022-03-30",423691826.784857
"2022-03-29",423134825.373782
"2022-03-28",432064152.913174
"2022-03-27",430361296.77507
"2022-03-26",430242919.891185
"2022-03-25",431536816.465757
"2022-03-24",429872180.225979
"2022-03-23",430313624.634766
"2022-03-22",429211985.864259
"2022-03-21",429247054.879357
"2022-03-20",428734400.4161
"2022-03-19",429003062.221286
"2022-03-18",428631046.816603
"2022-03-17",426955565.321566
"2022-03-16",426657819.588937
"2022-03-15",424680516.277942
"2022-03-14",424556419.78224
"2022-03-13",423805851.267053
"2022-03-12",423577434.348696
"2022-03-11",423165517.814297
"2022-03-10",421896768.970023
"2022-03-09",419465421.246991
"2022-03-08",420660697.335253
"2022-03-07",422208394.740904
"2022-03-06",422064807.548996
"2022-03-05",421597550.652315
"2022-03-04",421573889.548044
"2022-03-03",420706643.030104
"2022-03-02",418856852.601111
"2022-03-01",419109005.96324
"2022-02-28",419022188.149651
"2022-02-27",395711897.461306
"2022-02-26",395487987.476661
"2022-02-25",393406371.191214
"2022-02-24",393816585.883152
"2022-02-23",393742348.769986
"2022-02-22",393709230.369547
"2022-02-21",391911454.935457
"2022-02-20",392707538.596961
"2022-02-19",393206319.175701
"2022-02-18",392853622.440153
"2022-02-17",392240787.400463
"2022-02-16",392147014.145209
"2022-02-15",392075017.544963
"2022-02-14",391729774.808573
"2022-02-13",391239558.696387
"2022-02-12",391100173.359712
"2022-02-11",390317630.6394
"2022-02-10",387831916.954625
"2022-02-09",387153566.203615
"2022-02-08",387449160.048741
"2022-02-07",385490465.149493
"2022-02-06",384911203.323385
"2022-02-05",384714766.905896
"2022-02-04",383989198.501099
"2022-02-03",383783551.709346
"2022-02-02",383192008.554173
"2022-02-01",383221883.47177
"2022-01-31",382128297.067784
"2022-01-30",381751942.512323
"2022-01-29",381444507.059906
"2022-01-28",381378062.905975
"2022-01-27",380865860.405525
"2022-01-26",383426238.074031
"2022-01-25",383203755.568786
